country	name	id	screen_name	final_party
Austria	Stöger Alois	1296727846962987008	_sozialois	Social Democratic Party of Austria
Austria	Fürlinger Klaus	1275473419186909185	klausfuerlinger	Austrian People's Party
Austria	Schroll Alois	1242089434222407681	AloisSchroll	Social Democratic Party of Austria
Austria	Drobits Christian	1217059431499935744	drobits_chr	Social Democratic Party of Austria
Austria	Künsberg Sarre Martina	1212035979097174017	kuensberg	NEOS -- The New Austria
Austria	Muchitsch Josef	1159748421319872514	JosefMuchitsch	Social Democratic Party of Austria
Austria	Heinz-Christian Strache	1034417265607933952	HCSTracheFP	Freedom Party of Austria
Austria	Hannes Heide	1019231126181826561	HannesHeide	Social Democratic Party of Austria
Austria	Holzleitner Eva Maria	980885362993180672	eviholz	Social Democratic Party of Austria
Austria	Neßler Barbara	974404372774998017	BarbaraNessler	The Greens -- The Green Alternative
Austria	Silvan Rudolf	953241222776328193	Rudolf_Silvan	Social Democratic Party of Austria
Austria	Karoline Edtstadler	948147368918208512	k_edtstadler	Austrian People's Party
Austria	Nussbaum Verena	935515865453297664	VerenaNussbaum	Social Democratic Party of Austria
Austria	Kovacevic Christian	934883197762011136	chr_kovacevic	Social Democratic Party of Austria
Austria	Kickl Herbert	905877379280760832	zur_erklaerung	Freedom Party of Austria
Austria	Zarits Christoph	900818098743390208	ChristophZarits	Austrian People's Party
Austria	Ecker Cornelia	895085701070331904	corneliaecker	Social Democratic Party of Austria
Austria	Preiner Erwin	886202991707131904	ErwinPreiner	Social Democratic Party of Austria
Austria	Doppelbauer Karin	866176167971360769	DoppelbauerK	NEOS -- The New Austria
Austria	Koza Markus	809673582582308864	Kozarischer	The Greens -- The Green Alternative
Austria	Zorba Süleyman	760383091101855744	SuelZorba	The Greens -- The Green Alternative
Austria	Krainer Kai Jan	739507654746378240	KrainerJan	Social Democratic Party of Austria
Austria	Hörl Franz	739471985265266689	hoerlfranz	Austrian People's Party
Austria	Salzmann Gertraud	731944458145648640	GeSalzmann	Austrian People's Party
Austria	Köchl Klaus	3414706043	klauskoechl	Social Democratic Party of Austria
Austria	Hanger Andreas	3367085355	Andreas_Hanger	Austrian People's Party
Austria	Alev Korun	2807674700	AlevKorun	The Greens -- The Green Alternative
Austria	Laimer Robert	2785421152	RobertLaimer	Social Democratic Party of Austria
Austria	Kollross Andreas	2772835668	AndreasKollros	Social Democratic Party of Austria
Austria	Marchetti Nico	2711524718	niiico_laus	Austrian People's Party
Austria	Monika Vana	2615232002	MonikaVana	The Greens -- The Green Alternative
Austria	Kirchbaumer Rebecca	2482019360	RKirchbaumer	Austrian People's Party
Austria	Bürstmayr Georg	2364568520	buerstmayr	The Greens -- The Green Alternative
Austria	Melchior Alexander	2319586399	AxMelchior	Austrian People's Party
Austria	Schnabel Joachim	1921215740	schnabeljoachim	Austrian People's Party
Austria	Yılmaz Nurten	1543602474	FCNurtenYilmaz	Social Democratic Party of Austria
Austria	Loacker Gerald	1540692565	GLoacker	NEOS -- The New Austria
Austria	Schatz Sabine	1533776071	SabineSchatz	Social Democratic Party of Austria
Austria	Aygül Berivan Aslan	1489644792	Berivan_Aslan_	The Greens -- The Green Alternative
Austria	Shetty Yannick	1286517246	yannickshetty	NEOS -- The New Austria
Austria	Schnedlitz Michael	1285994456	MSchnedlitz	Freedom Party of Austria
Austria	Schimanek Carmen	1252282256	CarmenSchimanek	Freedom Party of Austria
Austria	Mölzer Wendelin	865171885	wendemoelzer	Freedom Party of Austria
Austria	Jachs Johanna	811008914	JachsJ	Austrian People's Party
Austria	Obernosterer Gabriel	758952162	G_Obernosterer	Austrian People's Party
Austria	Bayr Petra	590798448	BayrPetra	Social Democratic Party of Austria
Austria	Stögmüller David	540694329	Stoegmueller	The Greens -- The Green Alternative
Austria	Wassermann Sandra	517935606	Wassermann__	Freedom Party of Austria
Austria	Meinl-Reisinger Beate	444969570	BMeinl	NEOS -- The New Austria
Austria	Lercher Maximilian	394177801	MaxLercher	Social Democratic Party of Austria
Austria	Lindner Mario	393994997	MarioLindner82	Social Democratic Party of Austria
Austria	El-Nagashi Faika	337807320	el_nagashi	The Greens -- The Green Alternative
Austria	Brandstätter Helmut	334036057	HBrandstaetter	NEOS -- The New Austria
Austria	Hofer Norbert	333606989	norbertghofer	Freedom Party of Austria
Austria	Lindinger Klaus	323157806	LexnKlaus	Austrian People's Party
Austria	Wimmer Petra	284191254	PetraWimmer	Social Democratic Party of Austria
Austria	Brandstötter Henrike	278921219	brand_rede	NEOS -- The New Austria
Austria	Christian Kern	270564264	KernChri	Social Democratic Party of Austria
Austria	Hammer Lukas	256221937	lukas_hammer	The Greens -- The Green Alternative
Austria	Krisper Stephanie	256020864	steffi_krisper	NEOS -- The New Austria
Austria	Karl Nehammer	183542655	karlnehammer	Austrian People's Party
Austria	Ulrike Lunacek	182404196	UlrikeLunacek	The Greens -- The Green Alternative
Austria	Werner Kogler	154096311	WKogler	The Greens -- The Green Alternative
Austria	Hafenecker Christian	150739282	hafi1980	Freedom Party of Austria
Austria	Scherak Nikolaus	140398719	NikiScherak	NEOS -- The New Austria
Austria	Kucharowits Katharina	109310122	kathi_kuch	Social Democratic Party of Austria
Austria	Julian Schmid	101773849	_julianschmid	The Greens -- The Green Alternative
Austria	Gerstl Wolfgang	96791014	wolfganggerstl	Austrian People's Party
Austria	Hoyos-Trauttmansdorff Douglas	87757854	derHoyos	NEOS -- The New Austria
Austria	Schallmeiner Ralph	68799321	R_Schallmeiner	The Greens -- The Green Alternative
Austria	Hamann Sibylle	50578233	sibyllehamann	The Greens -- The Green Alternative
Austria	Sebastian Kurz	46623193	sebastiankurz	Austrian People's Party
Austria	Himmelbauer Eva-Maria	46437165	EHimmelbauer	Austrian People's Party
Austria	Jeitler-Cincelli Carmen	46350978	carmenjeitler	Austrian People's Party
Austria	Claudia Gamon	37776042	dieGamon	NEOS -- The New Austria
Austria	Margreiter Johannes	24527379	HannesM	NEOS -- The New Austria
Austria	Maurer Sigrid	22000071	sigi_maurer	The Greens -- The Green Alternative
Austria	Gödl Ernst	19255232	Ernesto71	Austrian People's Party
Austria	Kucher Philip	16097307	philipkucher	Social Democratic Party of Austria
Austria	Andreas Schieder	15749452	SCHIEDER	Social Democratic Party of Austria
Austria	Blimlinger Eva	1135101106458157057	blimlinger	The Greens -- The Green Alternative
Austria	Tomaselli Nina	970361797625761792	dietomaselli	The Greens -- The Green Alternative
Austria	Androsch Maurice, Ing.	4924192780	m_androsch	Social Democratic Party of Austria
Austria	Reifenberger Volker, Ing. Mag.	4861442225	ReifenbergerV	Freedom Party of Austria
Austria	Alexander Van der Bellen	4502695341	vanderbellen	Social Democratic Party of Austria
Austria	Griss Irmgard, Dr.	3977948775	IrmgardGriss	NEOS -- The New Austria
Austria	Kaniak Gerhard, Mag.	3312189503	GerhardKaniak	Freedom Party of Austria
Austria	Rendi-Wagner Pamela, Dr., MSc	3058262529	rendiwagner	Social Democratic Party of Austria
Austria	Lintl Jessi, Dr.	2884569563	jessilintl	Freedom Party of Austria
Austria	Disoski Meri, Mag.	2328562887	disoski	The Greens -- The Green Alternative
Austria	Kugler Gudrun, Dr.	2244017653	GudrunKugler	Austrian People's Party
Austria	Rossmann Bruno, Mag.	2207184570	rossmannbruno	The Greens -- The Green Alternative
Austria	Litschauer Martin, Ing.	2180371392	Energielix	The Greens -- The Green Alternative
Austria	Weidinger Peter, Mag.	1926452634	PeterWeidinger	Austrian People's Party
Austria	Prammer Agnes Sirkka, Mag.	1447681058	AgnesPrammer	The Greens -- The Green Alternative
Austria	Ernst-Dziedzic Ewa, Dr.	1418867791	dziedzic_ewa	The Greens -- The Green Alternative
Austria	Götze Elisabeth, Dr.	1213149800	eligoetze	The Greens -- The Green Alternative
Austria	Zinggl Wolfgang, Mag. Dr.	1101093044	wolfgang_zinggl	The Greens -- The Green Alternative
Austria	Drozda Thomas, Mag.	989554376	thomasdrozda	Social Democratic Party of Austria
Austria	Leichtfried Jörg, Mag.	862795896	jleichtfried	Social Democratic Party of Austria
Austria	Herr Julia Elisabeth	854535318	frauherr	Social Democratic Party of Austria
Austria	Lopatka Reinhold, Dr.	816879318	ReinholdLopatka	Austrian People's Party
Austria	Ofenauer Friedrich, Mag.	791530405	fritzof	Austrian People's Party
Austria	Bißmann Martha, Dipl.-Ing. (FH)	713964643	MarthaBissmann	Other
Austria	Lugar Robert, Ing.	703591886	LugarRobert	Freedom Party of Austria
Austria	Deimek Gerhard, Dipl.-Ing.	574351267	GerhardDeimek	Freedom Party of Austria
Austria	Jenewein Hans-Jörg, MA	543297567	Rosswange	Freedom Party of Austria
Austria	Belakowitsch Dagmar, Dr.	518358904	BelaDagmar	Freedom Party of Austria
Austria	Gudenus Johann, Mag., M.A.I.S.	510411966	JGudenus	Freedom Party of Austria
